Kontonr EIGEN;Kontobezeichnung (rein informativ!) EIGEN;Kontonr ALTERNATIV;Kontobezeichnung ALTERNATIV;
11;Anlagevermögen;-;-;
12;Anlagevermögen;-;-;
3001;DV - Programme;-;-;
3002;DV - Programme;-;-;
4001;Firmenwert;-;-;
4002;Firmenwert;-;-;
5001;Grundst u grundstücksgl Rechte;-;-;
5002;Grundst u grundstücksgl Rechte;-;-;
8001;Im Bau bfdl Anlagen und Anzahlungen für;-;-;
8002;Im Bau bfdl Anlagen und Anzahlungen für;-;-;
8101;Gebäude;-;-;
8102;Gebäude;-;-;
8201;Außenanlagen Deggendorf;-;-;
8202;Außenanlagen Landau;-;-;
8301;Betriebsvorrichtung Deggendorf;-;-;
8302;Betriebsvorrichtung Landau;-;-;
20001;Maschinen und Werkzeuge DEG;-;-;
20002;Maschinen und Werkzeuge LAN;-;-;
21001;Masch.u.Werkz.Geringw.ALT;-;-;
21002;Masch.u.Werkz.Geringw.ALT;-;-;
21101;Masch.u.Werkz.250 bis 1000 EUR;-;-;
21102;Masch.u.Werkz.250 bis 1000 EUR;-;-;
22001;Betriebs- und Geschäftsfzg;-;-;
22002;Betriebs- und Geschäftsfzg;-;-;
22501;Rent Fahrzeuge;-;-;
22502;Rent Fahrzeuge;-;-;
22901;frei;-;-;
22902;frei;-;-;
23001;Leasingwagen (eigene);-;-;
23002;Leasingwagen (eigene);-;-;
30001;Betriebs- u Geschäftsausstatt;-;-;
30002;Betriebs- u Geschäftsausstatt;-;-;
31001;Geringwertige Wirtschaftsgüter;-;-;
31002;Geringwertige Wirtschaftsgüter;-;-;
31101;Gesch.Ausst.250 bis 1000 EUR;-;-;
31102;Gesch.Ausst.250 bis 1000 EUR;-;-;
50001;Finanzanlagen/Beteiligungen;-;-;
50002;Finanzanlagen/Beteiligungen;-;-;
50101;Gewinnanteile Techno;-;-;
50102;Gewinnanteile Techno;-;-;
53001;Wertpapiere des AV;-;-;
53002;Wertpapiere des AV;-;-;
54001;Langfristige Ausleihungen;-;-;
54002;Langfristige Ausleihungen;-;-;
55001;Kunden-Gutscheine;-;-;
55002;Kunden-Gutscheine;-;-;
55501;Guthaben Tankomat Eging;-;-;
55502;Guthaben Tankomat Eging;-;-;
56001;Genossenschaftsanteile;-;-;
56002;Genossenschaftsanteile;-;-;
60001;sonstiges Anlagevermögen;-;-;
60002;sonstiges Anlagevermögen;-;-;
66001;Ansprüche aus Rückdeckungsvers;-;-;
66002;Ansprüche aus Rückdeckungsvers;-;-;
70001;Hypotheken und Grundschulden;-;-;
70002;Hypotheken und Grundschulden;-;-;
70101;HV Eurokredit;-;-;
70102;HV Eurokredit;-;-;
70801;Festgeld GB 3700057908;-;-;
70802;Festgeld GB 3700057908;-;-;
70901;Darl.20057908-Baukosten;-;-;
70902;Darl.20057908-Baukosten;-;-;
71001;Darl. HV 82448861;-;-;
71002;Darl. HV 82448861;-;-;
71101;Darlehen Peter Greiner f. Solaranlage;-;-;
71102;Darlehen Peter Greiner f. Solaranlage;-;-;
71201;Darl. Eleonore Greiner;-;-;
71202;Darl. Eleonore Greiner;-;-;
71301;GB Darl. 1320057908;-;-;
71302;GB Darl. 1320057908;-;-;
71401;GB Darl. 220057908;-;-;
71402;GB Darl. 220057908;-;-;
72001;Gegebene Darlehen;-;-;
72002;Gegebene Darlehen;-;-;
72101;Darl. Marianne Greiner;-;-;
72102;Darl. Marianne Greiner;-;-;
72201;GB Festg. 1700057908;-;-;
72202;GB Festg. 1700057908;-;-;
72301;Darl. Greiner Immob.verw.GmbH;-;-;
72302;Darl. Greiner Immob.verw.GmbH;-;-;
72401;KFW Darlehen GB 120057908;-;-;
72402;KFW Darlehen GB 120057908;-;-;
72601;Darl.Marianne Greiner II;-;-;
72602;Darl.Marianne Greiner II;-;-;
72801;Darlehen Greiner Immo;-;-;
72802;Darl.Immobilie GB;-;-;
72901;GB Darl. 520057908;-;-;
72902;GB Darl. 520057908;-;-;
73001;Gesellschafter Kontokorrent;-;-;
73002;Gesellschafter Kontokorrent;-;-;
74101;Leasing-Finanzierungen;-;-;
74102;Leasing-Finanzierungen;-;-;
74201;Mietsonderzahlungen;-;-;
74202;Mietsonderzahlungen;-;-;
76001;Verlorene Zuschüsse;-;-;
76002;Verlorene Zuschüsse;-;-;
79801;Jahresrate der langfr Verbindl;-;-;
79802;Jahresrate der langfr Verbindl;-;-;
79901;Jahresrate;-;-;
79902;Jahresrate;-;-;
80001;Gezeichnetes Kapital;-;-;
80002;Gezeichnetes Kapital;-;-;
80101;Verlust-Sonderkto.P.Gr.;-;-;
80102;Verlust-Sonderkto.P.Gr.;-;-;
80501;Greiner Verwalt.GmbH;-;-;
80502;Greiner Verwalt.GmbH;-;-;
81001;Kommanditeinlage Peter Greiner;-;-;
81002;Kommanditeinlage Peter Greiner;-;-;
81011;Ergänzendes Festkapital;-;-;
81101;Kommanditeinlage Fl.Greiner;-;-;
81102;Kommanditeinlage Fl.Greiner;-;-;
81201;Gesellsch.Darl.Peter Greiner;-;-;
81202;Gesellsch.Darl.Peter Greiner;-;-;
81301;Verlustsonderkto.Fl.Greiner;-;-;
81302;Verlustsonderkto.Fl.Greiner;-;-;
81401;Verlustsonderkto.P.Greiner;-;-;
81402;Verlustsonderkto.P.Greiner;-;-;
82001;Ausst Einlagen auf gez Kapital;-;-;
82002;Ausst Einlagen auf gez Kapital;-;-;
83001;Kapital-Rücklagen;-;-;
83002;Kapital-Rücklagen;-;-;
83101;Variabl.Kap.Florian Greiner;-;-;
83102;Variabl.Kap.Florian Greiner;-;-;
83501;Gewinn-Rücklagen;-;-;
83502;Gewinn-Rücklagen;-;-;
83801;Gewinn/Verlust-Vortrag;-;-;
83802;Gewinn/Verlust-Vortrag;-;-;
84001;Festkapital Florian Greiner;-;-;
84002;Festkapital Florian Greiner;-;-;
84011;Ergänzendes Festkapital;-;-;
90001;WB für Anlagevermögen;-;-;
90002;WB für Anlagevermögen;-;-;
90101;WB für Neuwagen;-;-;
90102;WB für Neuwagen;-;-;
90201;WB für Forderungen;-;-;
90202;WB für Forderungen;-;-;
90301;WB Rent-Fahrzeuge;-;-;
90302;WB Rent-Fahrzeuge;-;-;
90401;WB für Vorführwagen;-;-;
90402;WB für Vorführwagen;-;-;
90451;WB Chevrolet VW;-;-;
90452;WB Chevrolet VW;-;-;
90501;WB für Gebrauchtwagen;-;-;
90502;WB für Gebrauchtwagen;-;-;
90601;WB für GM Originalteile;-;-;
90602;WB für GM Originalteile;-;-;
90701;WB für Andere Teile;-;-;
90702;WB für Andere Teile;-;-;
90801;WB für Techno und Chevr.Teile;-;-;
90802;WB für Techno und Chevr.Teile;-;-;
90901;Wertber.a.GWL Forderungen;-;-;
90902;Wertber.a.GWL Forderungen;-;-;
91001;Rückst f. Kulanz;-;-;
91002;Rückst f. Kulanz;-;-;
91101;Rückst.für Archivierungskosten;-;-;
91102;Rückst.für Archivierungskosten;-;-;
91201;Rückst.für Prämien;-;-;
91202;Rückst.für Prämien;-;-;
91301;Rückst für Jubiläen;-;-;
91302;Rückst für Jubiläen;-;-;
91401;Rückst für unterl Instandsetz;-;-;
91402;Rückst für unterl Instandsetz;-;-;
91501;Rückst f Leasing-Rückn.verpfl;-;-;
91502;Rückst f Leasing-Rückn.verpfl;-;-;
91601;Rückst für Sonstiges;-;-;
91602;Rückst für Sonstiges;-;-;
91701;Rückst für Personalkosten;-;-;
91702;Rückst für Personalkosten;-;-;
91801;Rückst f Vorruhestandsverpfl;-;-;
91802;Rückst f Vorruhestandsverpfl;-;-;
91901;Rückst für Pensionszusagen;-;-;
91902;Rückst für Pensionszusagen;-;-;
92001;Vorausbezahlte Betriebsvers;-;-;
92002;Vorausbezahlte Betriebsvers;-;-;
92101;Vorausbez Gebäudevers. u. St.;-;-;
92102;Vorausbez Gebäudevers. u. St.;-;-;
92201;Vorausbez Kfz-Versich. u.St.;-;-;
92202;Vorausbez Kfz-Versich. u.St.;-;-;
92301;Vor.bez.Mitarb.Versicherungen;-;-;
92302;Vor.bez.Mitarb.Versicherungen;-;-;
92401;Vorausbezahlte Miete;-;-;
92402;Vorausbezahlte Miete;-;-;
92501;Disagio;-;-;
92502;Disagio;-;-;
92601;Vorausbez Gebühren und Beitr;-;-;
92602;Vorausbez Gebühren und Beitr;-;-;
92701;Vorausbezahlte Werbungskosten;-;-;
92702;Vorausbezahlte Werbungskosten;-;-;
92801;Vorausbez.Tel.Miete;-;-;
92802;Vorausbez.Tel.Miete;-;-;
92901;Vorauszahlungen Sonstige;-;-;
92902;Vorauszahlungen Sonstige;-;-;
93001;Rst Givit Garantien;-;-;
93002;Rst Givit Garantien;-;-;
93101;Abgr.Bonus Mobil;-;-;
93102;Abgr.Bonus Mobil;-;-;
93201;So.Passive Re.Abgr.;-;-;
93202;So.Passive Re.Abgr.;-;-;
93301;Abgr.Eig.Garant.MWST;-;-;
93302;Abgr.Eig.Garant.MWST;-;-;
95001;Sonderposten mit Rücklagenant;-;-;
95002;Sonderposten mit Rücklagenant;-;-;
95501;WB (Sonderabschr);-;-;
95502;WB (Sonderabschr);-;-;
99981;Summe Anlagevermögen;-;-;
99982;Summe Anlagevermögen;-;-;
99991;Finanz-u. Umlaufvermögen;-;-;
99992;Finanz-u. Umlaufvermögen;-;-;
100001;Kasse Deggendorf;-;-;
100002;Kasse Deggendorf;-;-;
100101;Kasse Eging;-;-;
100102;Kasse Eging;-;-;
100201;Kasse Landau;-;-;
100202;Kasse Landau;-;-;
100301;Kasse Tankstelle Eging;-;-;
100302;Kasse Tankstelle Eging;-;-;
110001;Postbank;-;-;
110002;Postbank;-;-;
120001;Genobank Donauwald eG;-;-;
120002;Genobank Donauwald eG;-;-;
120101;Sparkasse Landau;-;-;
120102;Sparkasse Landau;-;-;
121001;HypoVereinsbank Deggendorf;-;-;
121002;HypoVereinsbank Deggendorf;-;-;
121501;Sparkasse Plattling;-;-;
121502;Sparkasse Plattling;-;-;
122001;VR-Bank Landau;-;-;
122002;VR-Bank Landau;-;-;
123001;Volksbank Vilshofen-Eging;-;-;
123002;Volksbank Vilshofen-Eging;-;-;
128001;Geldtransit;-;-;
128002;Geldtransit;-;-;
128011;EC Karten;-;-;
128012;EC Karten;-;-;
128021;Kreditkarten;-;-;
128022;Kreditkarten;-;-;
128101;Neuwagen Transit;-;-;
128102;Neuwagen Transit;-;-;
129001;Nicht eingelöste Schecks;-;-;
129002;Nicht eingelöste Schecks;-;-;
130001;Besitzwechsel;-;-;
130002;Besitzwechsel;-;-;
140001;Forderungen an Kunden;-;-;
140101;EDV - interne Abstimmungskto;-;-;
140102;EDV - interne Abstimmungskto;-;-;
141001;EDV - interne Abstimmungskto;-;-;
141002;EDV - interne Abstimmungskto;-;-;
149001;Geleistete Anz f Umlaufverm;-;-;
149002;Geleistete Anz f Umlaufverm;-;-;
150001;Kreditoren-Soll-Salden (Soll);-;-;
150002;Kreditoren-Soll-Salden (Soll);-;-;
151001;Auffrischb. alt;-;-;
151002;Auffrischb. alt;-;-;
152001;Ausst.Verkaufshilfen Opel;-;-;
152002;Ausst.Verkaufshilfen;-;-;
152101;Ausst.Verkaufshilfe Leapmotor;-;-;
152102;Ausst.Volumenbonus;-;-;
152201;Ausst.Standardbonus;-;-;
152202;Ausst.Standardbonus;-;-;
152301;Ford.Bundesagentur(Kug);-;-;
152302;Ford.Bundesagentur(Kug);-;-;
152401;Ausst. Ablieferungsinspektion;-;-;
152402;Ausst. Ablieferungsinspektion;-;-;
152601;Ausst.Finanzierungsprovisionen;-;-;
152602;Ausst.Finanzierungsprovisionen;-;-;
152901;Sonstige kurzfr Forderungen;-;-;
152902;Sonstige kurzfr Forderungen;-;-;
153001;Ford aus Beh-Agenturgesch/IDS;-;-;
153002;Ford aus Beh-Agenturgesch/IDS;-;-;
154001;Durchlaufende Posten;-;-;
154002;Durchlaufende Posten;-;-;
154101;Sonst.Forder. Peter Greiner;-;-;
154102;Sonst.Forder. Peter Greiner;-;-;
154201;Sonst.Ford.Florian Greiner;-;-;
154202;Sonst.Ford.Florian Greiner;-;-;
154301;Durchl.Posten MWST 19%;-;-;
154302;Durchl.Posten MWST 19%;-;-;
155001;Ford.aus Garantie+Kulanz OPEL;-;-;
155002;Ford.aus Garantie+Kulanz OPEL;-;-;
155021;Ford.aus Garantie+Kulanz Saab;-;-;
155022;Ford.aus Garantie+Kulanz Saab;-;-;
155041;Ford.aus Garantie+Kulanz Chev;-;-;
155042;Ford.aus Garantie+Kulanz Chev;-;-;
155061;Ford.aus Garantie+Kulanz sonst;-;-;
155062;Ford.aus Garantie+Kulanz sonst;-;-;
155101;GWL Forderungen Verrechnungsko;-;-;
155102;GWL Forderungen Verrechnungsko;-;-;
156001;Ford gg verbund. Unternehmen;-;-;
156002;Ford gg verbund. Unternehmen;-;-;
157901;Steuererstattungsansprüche;-;-;
157902;Steuererstattungsansprüche;-;-;
158001;Vorsteuer voll abzugsfähig;-;-;
158002;Vorsteuer voll abzugsfähig;-;-;
158101;Vorsteuer direkt bebuchbar;-;-;
158102;Vorsteuer direkt bebuchbar;-;-;
158201;Vorsteuer abzugsfähig 16 %;-;-;
158202;Vorsteuer abzugsfähig 16 %;-;-;
158301;Vorsteuer 5%;-;-;
158302;Vorsteuer 5%;-;-;
158401;Mehrwertsteuerforderung;-;-;
158402;Mehrwertsteuerforderung;-;-;
158701;Nur AT-Steuer;-;-;
158702;Nur AT-Steuer;-;-;
158801;Erwerbsvorsteuer;-;-;
158802;Erwerbsvorsteuer;-;-;
159001;Forderungen an Gesellschafter;-;-;
159002;Forderungen an Gesellschafter;-;-;
159501;Eingef. nicht eingez. Kapital;-;-;
159502;Eingef. nicht eingez. Kapital;-;-;
159901;Frei;-;-;
159902;Frei;-;-;
160001;Verbindlichkeiten aus LuL;-;-;
160101;Offene Überw./Lastschriften;-;-;
160102;Offene Überw./Lastschriften;-;-;
