standort_name,standort,dealer_vehicle_number,kom_nr,jahreswagenkz,vfw_status,kennzeichen,vin,marke,modell,ez,km,antriebsart,versteuerung_hinweis,listenpreis_netto,empf_vk_preis,modell_netto_preis,upe_brutto,upe_quelle,geldwert_vorteil_monat,eingang,abmeldung,verkauft_am
Deggendorf Opel,1,110161,G,,Kom.Nr. G,SR-VZ 30,W0VBE8EG8K8019534,Opel,ASTRA ST INNO 1.6D (100)6G S,2018-12-18,121865,Diesel,1 %,0.00,33780.00,0.00,33780.0,empf.VK,337.8,2018-12-13,,2022-07-05
Deggendorf Opel,1,110169,V,,Kom.Nr. V,,W0VBF6EG6KG391641,Opel,ASTRA 5T DYNAM 1.6D(100)6G S,2019-09-19,24312,,1 %,0.00,31200.00,0.00,31200.0,empf.VK,312.0,2019-09-09,,2022-01-17
Deggendorf Opel,1,110148,G,X,Verkauft (Jahreswg.Kz. X),,VXEVEAHXKL7015048,Opel,ZAFI LIFE INNO 2.0CDTI(110)6,2021-05-25,84480,,1 %,0.00,53650.00,0.00,53650.0,empf.VK,536.5,2020-03-17,2025-08-11,2025-08-22
Deggendorf Opel,1,110139,G,X,Verkauft (Jahreswg.Kz. X),,W0VVU1607LB211704,Opel,Movano Fahrgestell Normalkabi,2020-04-17,40000,,1 %,0.00,47736.85,0.00,47736.85,empf.VK,477.37,2020-04-17,2025-07-15,2025-07-15
Deggendorf Opel,1,110147,V,,Kom.Nr. V,DEG-G 1149,VXEVEEHZ8L7025745,Opel,ZAF LIFE INNO 2.0CDTI(130)AT,2021-03-29,9000,Diesel,1 %,0.00,57350.00,0.00,57350.0,empf.VK,573.5,2020-05-05,,2022-01-17
Deggendorf Opel,1,110140,V,,Kom.Nr. V,DEG-P 101,W0VMR3604LB217985,Opel,MOVANO KAWA 2.3TD 110KW S/S,2021-01-04,32735,,1 %,0.00,47034.75,0.00,47034.75,empf.VK,470.35,2020-05-25,,2022-03-29
Deggendorf Opel,1,110135,V,,Kom.Nr. V,PA-QD 20E,W0VZ4DGZXLS177676,Opel,"Grandland,Ultimate PlugIn FWD Hybrid, Systemleistung 165 kW",2021-03-09,38677,,"0,5 % / 0,25 % (E/Hybrid)",0.00,0.00,0.00,42042.74,"Grund+Zubehör×1,19",210.21,2020-08-05,,2021-12-13
Deggendorf Opel,1,110159,G,X,Verkauft (Jahreswg.Kz. X),DEG-LS 509,W0VBE8EV2L8031369,Opel,ASTRA ST ELEG 1.5D(90)6G S/S,2020-10-27,67959,,1 %,0.00,31086.05,0.00,31086.05,empf.VK,310.86,2020-09-30,2023-05-08,2024-04-04
Deggendorf Opel,1,110158,V,,Kom.Nr. V,R-S 8690,W0VBE8EV1L8031427,Opel,ASTRA ST ELEG 1.5D(90)6G S/S,2020-10-26,10250,,1 %,0.00,31890.00,0.00,31890.0,empf.VK,318.9,2020-10-14,2022-02-14,2022-02-15
Deggendorf Opel,1,110166,G,X,Verkauft (Jahreswg.Kz. X),DEG-F 1110,W0VBF6ES2MG001724,Opel,ASTRA 5T GS LINE 1.2(96)6G S,2021-05-25,26136,Benzin (allgemein),1 %,0.00,26450.93,0.00,26450.93,empf.VK,264.51,2020-11-02,,2022-04-19
Deggendorf Opel,1,110137,V,,Kom.Nr. V,CHA-HS 333,W0VZRHNS2L6052078,Opel,GRANDL.X 2020 1.2T(96)MT6 S/,2020-11-30,58362,Benzin (allgemein),1 %,0.00,32725.01,0.00,32725.01,empf.VK,327.25,2020-11-09,,2022-03-15
Deggendorf Opel,1,115047,G,Z,Kom.Nr. G,,W0V7H9EB1L4000775,Opel,CROSSL X INNOV 1.2(96KW)6G S,2019-10-11,13859,Benzin (allgemein),1 %,0.00,0.00,0.00,15450.91,"Grund+Zubehör×1,19",154.51,2020-11-24,,2022-05-19
Deggendorf Opel,1,110149,V,,Kom.Nr. V,DEG-G 575 E,VXEVZZKXZMZ010216,Opel,"Zafira Life-e Elegance PDC|KLI Elektromotor, 100 kW (136 PS),",2020-11-30,8323,,"0,5 % / 0,25 % (E/Hybrid)",0.00,68020.83,0.00,68020.83,empf.VK,340.1,2020-11-26,,2022-06-07
Deggendorf Opel,1,110154,G,X,Verkauft (Jahreswg.Kz. X),DEG-SP 15,VXKUPHNKKL4450362,Opel,CORSA 5T ELEGANCE 1.2(74)6GS,2021-03-25,34726,Benzin (allgemein),1 %,0.00,20953.11,0.00,20953.11,empf.VK,209.53,2020-11-26,,2022-09-12
Deggendorf Opel,1,110172,G,X,Verkauft (Jahreswg.Kz. X),,W0V7D9EB8M4012466,Opel,Crossland GS Line 1.2 Aut. PDC,2021-06-28,20000,Benzin (allgemein),1 %,0.00,30374.00,0.00,30374.0,empf.VK,303.74,2020-12-16,2023-03-06,2023-03-06
Deggendorf Opel,1,110174,G,X,Verkauft (Jahreswg.Kz. X),FRG-J 9000,W0V7H9EBXM4009847,Opel,CROSSL  ELEGA 1.2(96KW)6G S/,2021-02-16,39500,Benzin (allgemein),1 %,0.00,27805.00,0.00,27805.0,empf.VK,278.05,2020-12-16,2024-04-02,2024-04-10
Deggendorf Opel,1,110145,G,,Kom.Nr. G,,VXEVFAHXKMZ018065,Opel,Vivaro Cargo Edition M 2.0 Diesel 110 kW (150 PS) Start/,2021-03-30,196300,,1 %,0.00,38044.30,0.00,38044.3,empf.VK,380.44,2021-01-29,2024-12-12,2024-12-30
Deggendorf Opel,1,110183,G,X,Verkauft (Jahreswg.Kz. X),FFB-TL 283,VXKUSHNSKMW037304,Opel,MOKKA ELEGANCE 1.2(96KW)6G S,2021-06-29,55436,Benzin (allgemein),1 %,0.00,28790.00,0.00,28790.0,empf.VK,287.9,2021-06-01,2023-05-02,2024-08-07
Deggendorf Opel,1,110153,V,,Kom.Nr. V,,VXKUHZKXZM4185962,Opel,CORSA 5T E-EDI ELEKTRO (100K,2021-07-15,3148,Elektro,"0,5 % / 0,25 % (E/Hybrid)",0.00,0.00,0.00,21985.52,"Grund+Zubehör×1,19",109.93,2021-06-02,,2022-05-04
Deggendorf Opel,1,110181,V,,Kom.Nr. V,P-CS 246E,VXKUKZKXZMW043151,Opel,MOKKA-E EDITION ELEKTRO(100K,2021-07-29,1909,,"0,5 % / 0,25 % (E/Hybrid)",0.00,37575.00,0.00,37575.0,empf.VK,187.88,2021-06-22,,2022-02-03
Deggendorf Opel,1,110162,G,X,Verkauft (Jahreswg.Kz. X),PA-MN 698,W0VBE6ES2NG025641,Opel,ASTRA 5T ELEG 1.2(96KW)6G S/,2021-11-08,18500,,1 %,0.00,27660.00,0.00,27660.0,empf.VK,276.6,2021-09-03,,2023-06-26
Deggendorf Opel,1,115020,G,Z,Kom.Nr. G,DEG-LD 808,VXKUPHNEKM4042816,Opel,CORSA 5T ELEGA 1.2(74KW)6G S,2021-02-22,41033,Benzin (allgemein),1 %,0.00,0.00,0.00,15070.77,"Grund+Zubehör×1,19",150.71,2021-09-24,,2022-03-18
Deggendorf Opel,1,115026,G,Z,Kom.Nr. G,DGF-A 1035,W0V7D9EB4L4352471,Opel,CROSSL X 2020 1.2(96KW)6G S/,2020-10-30,44975,Benzin (allgemein),1 %,0.00,0.00,0.00,16374.21,"Grund+Zubehör×1,19",163.74,2021-09-24,,2022-02-17
Deggendorf Opel,1,115027,G,Z,Kom.Nr. G,GRA-HW 105,W0V7D9EB5L4392591,Opel,CROSSL X 2020 1.2(96KW)6G S/,2020-10-30,80444,Benzin (allgemein),1 %,0.00,0.00,0.00,15485.21,"Grund+Zubehör×1,19",154.85,2021-09-24,,2022-01-24
Deggendorf Opel,1,115024,G,Z,Kom.Nr. G,DEG-H 2197,VXKUPHNKKL4338710,Opel,CORSA 5T GS LINE 1.2(74)6G S,2020-09-28,49612,Benzin (allgemein),1 %,0.00,0.00,0.00,16178.47,"Grund+Zubehör×1,19",161.78,2021-09-27,,2022-03-04
