gj_monat,gj_monat_name,kal_monat,kal_jahr,kal_monat_name,nw_db1,nw_variable,nw_db2,nw_db1_vj,nw_variable_vj,nw_db2_vj,nw_db2_diff,nw_db2_diff_prozent,gw_db1,gw_variable,gw_db2,gw_db1_vj,gw_variable_vj,gw_db2_vj,gw_db2_diff,gw_db2_diff_prozent,teile_db1,teile_variable,teile_db2,teile_db1_vj,teile_variable_vj,teile_db2_vj,teile_db2_diff,teile_db2_diff_prozent,werkstatt_db1,werkstatt_variable,werkstatt_db2,werkstatt_db1_vj,werkstatt_variable_vj,werkstatt_db2_vj,werkstatt_db2_diff,werkstatt_db2_diff_prozent,sonstige_db1,sonstige_variable,sonstige_db2,sonstige_db1_vj,sonstige_variable_vj,sonstige_db2_vj,sonstige_db2_diff,sonstige_db2_diff_prozent,gesamt_variable,gesamt_variable_vj
1,GJ-Monat 1,9,2024,September,422577.78,39840.47,382737.31,778173.73,47364.84,730808.89,-348071.58,-47.63,1625306.26,21918.51,1603387.75,1183500.98,28741.44,1154759.54,448628.21,38.85,352134.24,4477.5,347656.74,352063.39,9330.61,342732.78,4923.96,1.44,210732.29,0.0,210732.29,216420.95,0.0,216420.95,-5688.66,-2.63,2506911.35,2973.29,2503938.06,2456262.31,5890.74,2450371.57,53566.49,2.19,69209.77,91327.63
2,GJ-Monat 2,10,2024,October,707972.11,46087.13,661884.98,728423.08,34438.81,693984.27,-32099.29,-4.63,1482487.77,21248.0,1461239.77,1213084.53,21206.35,1191878.18,269361.59,22.6,430059.67,10319.33,419740.34,490921.59,28960.11,461961.48,-42221.14,-9.14,248082.99,0.0,248082.99,301117.6,0.0,301117.6,-53034.61,-17.61,2774069.78,2652.11,2771417.67,2605458.6,2813.79,2602644.81,168772.86,6.48,80306.57,87419.06
3,GJ-Monat 3,11,2024,November,593568.23,33205.63,560362.6,713864.36,59749.51,654114.85,-93752.25,-14.33,1300526.56,18324.27,1282202.29,1007136.46,23554.98,983581.48,298620.81,30.36,490773.64,11343.67,479429.97,475146.41,12452.74,462693.67,16736.3,3.62,318951.56,0.0,318951.56,222087.97,0.0,222087.97,96863.59,43.61,2354084.23,2999.68,2351084.55,2333362.98,3341.71,2330021.27,21063.28,0.9,65873.25,99098.94
4,GJ-Monat 4,12,2024,December,360061.0,49908.54,310152.46,713237.94,54611.91,658626.03,-348473.57,-52.91,975732.54,23292.7,952439.84,977023.41,24552.69,952470.72,-30.88,-0.0,291056.92,8563.49,282493.43,333974.8,17553.42,316421.38,-33927.95,-10.72,191766.32,0.0,191766.32,239168.16,0.0,239168.16,-47401.84,-19.82,1740168.74,3744.81,1736423.93,2189497.19,4482.01,2185015.18,-448591.25,-20.53,85509.54,101200.03
5,GJ-Monat 5,1,2025,January,189636.17,34711.6,154924.57,334531.32,40586.53,293944.79,-139020.22,-47.29,1112731.03,16260.54,1096470.49,1191862.35,23307.94,1168554.41,-72083.92,-6.17,390736.29,10718.64,380017.65,402890.52,16193.34,386697.18,-6679.53,-1.73,266645.08,0.0,266645.08,246407.96,0.0,246407.96,20237.12,8.21,1870135.71,2905.54,1867230.17,2115930.28,4966.24,2110964.04,-243733.87,-11.55,64596.32,85054.05
6,GJ-Monat 6,2,2025,February,545165.7,31946.23,513219.47,565854.38,51152.95,514701.43,-1481.96,-0.29,1003388.41,19272.69,984115.72,1712426.54,16537.59,1695888.95,-711773.23,-41.97,413747.75,3450.84,410296.91,357010.47,7979.43,349031.04,61265.87,17.55,263011.72,0.0,263011.72,204405.79,0.0,204405.79,58605.93,28.67,2053505.17,3858.63,2049646.54,2750500.99,1346.88,2749154.11,-699507.57,-25.44,58528.39,77016.85
7,GJ-Monat 7,3,2025,March,491084.19,35437.51,455646.68,590804.59,57356.71,533447.88,-77801.2,-14.58,1516044.12,20745.47,1495298.65,1623649.08,20749.66,1602899.42,-107600.77,-6.71,432009.23,4011.86,427997.37,333012.82,9617.13,323395.69,104601.68,32.34,258047.9,0.0,258047.9,226520.83,0.0,226520.83,31527.07,13.92,2574414.91,3039.7,2571375.21,2690609.67,5236.35,2685373.32,-113998.11,-4.25,63234.54,92959.85
8,GJ-Monat 8,4,2025,April,467766.97,34836.64,432930.33,781683.26,43928.67,737754.59,-304824.26,-41.32,1457628.19,23896.18,1433732.01,1676967.94,30146.73,1646821.21,-213089.2,-12.94,359510.94,6337.1,353173.84,411812.66,13050.15,398762.51,-45588.67,-11.43,240087.14,0.0,240087.14,302566.32,0.0,302566.32,-62479.18,-20.65,2418728.77,2123.22,2416605.55,3054855.59,5108.16,3049747.43,-633141.88,-20.76,67193.14,92233.71
9,GJ-Monat 9,5,2025,May,485582.23,36360.18,449222.05,836744.14,46844.69,789899.45,-340677.4,-43.13,1198895.35,23971.33,1174924.02,1299834.65,22582.49,1277252.16,-102328.14,-8.01,379699.86,9504.24,370195.62,357410.64,13383.17,344027.47,26168.15,7.61,251470.77,0.0,251470.77,233571.55,0.0,233571.55,17899.22,7.66,2245478.69,7131.48,2238347.21,2655056.5,2505.64,2652550.86,-414203.65,-15.62,76967.23,85315.99
10,GJ-Monat 10,6,2025,June,662101.9,35048.41,627053.49,730919.54,42201.61,688717.93,-61664.44,-8.95,1176374.37,23175.92,1153198.45,1438293.07,23660.64,1414632.43,-261433.98,-18.48,340664.98,6717.9,333947.08,360122.79,13067.14,347055.65,-13108.57,-3.78,241922.86,0.0,241922.86,220609.15,0.0,220609.15,21313.71,9.66,2281730.2,3995.5,2277734.7,2670949.59,5494.35,2665455.24,-387720.54,-14.55,68937.73,84423.74
