prefix,MA,Name,von,bis,dauer_min_str,auftrag_nummer,position_text,auaw1,auaw2,aw_ant_min_str,st_ant_pct_str,lstgrad,Anwes.,Produkt.,Pause,dauer_min,auaw_min,aw_ant_min,st_ant_pct
,,07:49               ,12:58               ,F,4:24                ,300014,"5,01 I  E-TAC-ANFRAGEN",--                  ,,,,4:24                ,4:24                ,AP,,264,0.0,0.0,0.0
,,12:58               ,13:30               ,F,0:32                ,312553,"1,02 W  Vorführung zur Abgas-Untersuchung (AU)",0:24                ,0:24                ,0:32                ,"75,0%               ",4:56                ,4:56                ,AP,,32,24.0,32.0,75.0
,,13:30               ,13:40               ,F,0:09                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,5:06                ,5:05                ,AP,,9,0.0,0.0,0.0
,,13:41               ,15:34               ,F,1:54                ,312889,"1,01 I  HU-Gebühren",1:20                ,1:20                ,0:47                ,"170,2%              ",,,,,114,80.0,47.0,170.2
,,15:34               ,16:45               ,F,1:10                ,300014,"5,01 I  E-TAC-ANFRAGEN",--                  ,,,,8:11                ,8:09                ,AP,,70,0.0,0.0,0.0
,,07:55               ,08:55               ,F,0:59                ,36712,"6,02 W  2 Reifen ersetzen - incl. wuchten vorne",0:42                ,0:42                ,0:52                ,"80,8%               ",,,,,59,42.0,52.0,80.8
,,08:55               ,10:55               ,F,2:00                ,36218,"1,01 W  Überprüfung auf Nacharbeiten / Kampagnen",--                  ,,,,,,,,120,0.0,0.0,0.0
,,10:55               ,13:10               ,F,1:30                ,217725,"1,08 G  Kondensator",0:42                ,0:34                ,0:52                ,"65,4%               ",,,,,90,42.0,52.0,65.4
,,13:11               ,16:55               ,F,3:44                ,36220,"1,01 W  Überprüfung auf Nacharbeiten / Kampagnen",--                  ,,,,,,,,224,0.0,0.0,0.0
,,07:57               ,16:45               ,F,8:03                ,312101,"1,05 W  MDI - Diagnose",0:24                ,0:01                ,0:10                ,"10,0%               ",,,,,483,24.0,10.0,10.0
,,07:56               ,08:25               ,F,0:29                ,31,"9,05 I  Stabel Viktor",--                  ,,,,0:30                ,0:29                ,,,29,0.0,0.0,0.0
,,08:25               ,08:58               ,F,0:32                ,312858,"1,03 W  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:27                ,"111,1%              ",,,,,32,30.0,27.0,111.1
,,08:58               ,09:14               ,F,0:16                ,31,"9,05 I  Stabel Viktor",--                  ,,,,1:19                ,1:17                ,,,16,0.0,0.0,0.0
,,09:15               ,09:44               ,F,0:30                ,312820,"1,03 W  Jahren",1:00                ,1:00                ,0:22                ,"272,7%              ",,,,,30,60.0,22.0,272.7
,,09:44               ,10:11               ,F,0:27                ,312880,"1,01 I  Ablieferungsdurchsicht - Technik",0:24                ,0:14                ,0:12                ,"116,7%              ",,,,,27,24.0,12.0,116.7
,,10:11               ,10:21               ,F,0:09                ,312873,"1,05 G  Driver Airbag check & Replacement",0:12                ,0:12                ,0:27                ,"44,4%               ",2:26                ,2:23                ,,,9,12.0,27.0,44.4
,,10:21               ,10:41               ,F,0:20                ,312880,"1,01 I  Ablieferungsdurchsicht - Technik",0:24                ,0:10                ,0:09                ,"111,1%              ",,,,,20,24.0,9.0,111.1
,,10:41               ,11:41               ,F,1:01                ,312820,"3,03 W  Motorkühlmittel",0:12                ,0:08                ,0:14                ,"57,1%               ",,,,,61,12.0,14.0,57.1
,,11:41               ,12:49               ,F,0:23                ,31,"9,05 I  Stabel Viktor",--                  ,,,,4:09                ,4:06                ,AP,,23,0.0,0.0,0.0
,,12:49               ,13:26               ,F,0:37                ,312820,"3,03 W  Motorkühlmittel",0:12                ,0:04                ,0:08                ,"50,0%               ",,,,,37,12.0,8.0,50.0
,,13:26               ,14:04               ,F,0:38                ,312553,"2,03 W  Jahren",0:48                ,0:48                ,0:26                ,"184,6%              ",,,,,38,48.0,26.0,184.6
,,14:04               ,14:05               ,F,0:01                ,31,"9,05 I  Stabel Viktor",--                  ,,,,5:26                ,5:22                ,AP,,1,0.0,0.0,0.0
,,14:06               ,14:28               ,F,0:23                ,312894,"2,05 G  EINGRIFF PRAEVENTIVMASSNAHME 1 AM",0:15                ,0:07                ,0:23                ,"30,4%               ",5:49                ,5:45                ,AP,,23,15.0,23.0,30.4
,,14:29               ,16:45               ,F,2:16                ,312896,"1,04 W  Diagnose/Schaden feststellen",0:48                ,0:33                ,2:16                ,"24,3%               ",8:05                ,8:01                ,AP,,136,48.0,136.0,24.3
,,08:08               ,08:29               ,F,0:21                ,312872,"1,04 W  ersetzen",0:48                ,0:18                ,0:15                ,"120,0%              ",,,,,21,48.0,15.0,120.0
,,08:29               ,09:00               ,F,0:30                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,0:57                ,0:52                ,,,30,0.0,0.0,0.0
